mac,hour_of_day,day_of_week,times_seen,lat,lon
A2:B5:3C:C6:B3:C1,9,4,1,,
DA:93:73:30:A3:58,9,4,1,,
F8:E4:E3:9D:5C:83,9,4,1,,
96:47:4D:BC:8E:D0,9,4,1,,
34:7E:5C:3F:2B:C4,9,4,1,,
00:40:9D:8E:EC:C1,9,4,1,,
8C:5B:F0:E7:CB:7F,9,4,1,,
F6:92:BF:9A:2A:35,9,4,1,,
5E:A5:73:44:C2:D2,9,4,1,,
46:CF:B8:A5:D7:6E,9,4,1,,
96:38:A3:D5:DE:5C,9,4,1,,
F6:36:0C:37:01:93,9,4,1,,
10:E7:C6:19:86:8A,9,4,1,,
46:70:3F:DF:CA:2B,9,4,1,,
6E:40:E1:5D:17:AA,9,4,1,,
6A:60:EF:37:70:8B,9,4,1,,
4E:47:43:4B:BD:32,9,4,1,,
9E:1E:44:92:D9:20,9,4,1,,
36:60:F9:A1:77:02,9,4,1,,
C6:E6:B2:E3:3D:DB,9,4,1,,
CA:30:E7:C1:06:CC,9,4,1,,
7E:92:39:AF:47:4B,9,4,1,,
EA:2F:47:BF:A4:1D,9,4,1,,
D6:20:02:B9:0A:57,9,4,1,,
34:60:F9:A1:77:03,9,4,1,,
36:66:F9:A1:77:63,9,4,1,,
CA:16:C3:1A:9D:21,9,4,1,,
34:60:F9:A1:77:02,9,4,1,,
36:60:F9:A1:77:62,9,4,1,,
34:60:F9:A1:59:94,9,4,1,,
42:96:BA:07:E6:CF,9,4,1,,
BA:DB:43:0C:29:1D,9,4,1,,
66:B2:47:D4:DA:BA,9,4,1,,
8E:C7:89:E5:76:EC,9,4,1,,
5E:B7:9D:54:C4:54,9,4,1,,
00:04:A5:0D:42:DB,9,4,1,,
6A:E2:1C:66:6D:B2,9,4,1,,
4A:44:32:F3:89:4E,9,4,1,,
D2:37:24:3F:6C:1B,9,4,1,,
D8:6C:63:42:02:5E,9,4,1,,
F8:9E:28:6F:C2:C9,9,4,1,,
12:9D:53:4F:F3:AE,9,4,1,,
